Duration,Title,Published_date,Views,Likes,Comments,Type
5736.0,DAVI JARDIM - ESPECIAL NATAL,2024-12-25,3000,276,1,Live
18992.0,3 ANOS DE AMPLIFICA - EPISÓDIO ESPECIAL,2024-12-18,34011,2695,67,Live
11295.0,READY TO BE HATED - AMPLIFICA #267,2024-12-11,14147,777,28,Live
7657.0,"ROBERTO ANGEROSA, GABRIEL LEVI E CHADAS USTUNTAS - AMPLIFICA #266",2024-12-04,2397,160,6,Live
9539.0,GARIMPEIROS do ROCK [+ Paulo Baron e Orlando Custódio] - AMPLIFICA #265,2024-11-27,4301,234,6,Live
32.0,RAFA EXPÕE seu PROCESSO CRIATIVO,2024-11-26,11987,485,1,Short
26.0,VOCÊ CONHECE uma BANDA TURISTA?,2024-11-25,8062,292,6,Short
34.0,O PERIGO das REDES SOCIAS na FORMAÇÃO de GOSTO MUSICAIS,2024-11-24,1050,63,2,Short
39.0,GOSTO MUSICAL se DISCUTE?,2024-11-23,9848,481,12,Short
29.0,CONVIDADO manda A REAL sobre O ALBUM HOLY LAND do ANGRA,2024-11-22,4849,312,11,Short
26.0,O LEGADO do ROCK de PAI pra FILHO,2024-11-21,12201,670,10,Short
10850.0,CHURRAS OF ROCK + JIMMY LONDON - AMPLIFICA #264,2024-11-20,15386,897,31,Live
49.0,O ROCK está MUDANDO?,2024-11-19,4667,398,10,Short
42.0,O QUE é TER SUCESSO?,2024-11-18,1090,56,3,Short
34.0,O QUE FAZER com ESSA NOVA GERAÇÃO de ARTISTAS?,2024-11-16,2238,94,1,Short
21.0,A DIFICULDADE em TRABALHAR com NOVOS ARTISTAS,2024-11-15,1854,94,3,Short
20.0,O MELHOR HORÁRIO para COMEÇAR o SHOW,2024-11-14,3938,117,0,Short
29.0,O QUE VOCÊ NÃO SABE sobre FILHOS X CARREIRA,2024-11-14,3184,175,1,Short
10199.0,MICHAEL PIPOQUINHA - AMPLIFICA #263,2024-11-13,29485,1913,84,Live
