Duration,Title,Published_date,Views,Likes,Comments,Type
54.0,CONHEÇA os TELESCÓPIOS mais IMPORTANTES do MUNDO,2024-12-26,8840,1350,12,Short
52.0,VERA RUBIN: O  TELESCÓPIO COM a MAIOR CÂMERA CONTRUÍDA da HISTÓRIA,2024-12-25,27201,3599,25,Short
165.0,SERJÃO EXPLICA o PORQUÊ ESTÁ sendo CANCELADO,2024-12-24,20066,2459,157,Live
27.0,O QUE É uma SUPERNOVA,2024-12-23,8094,1294,16,Short
66.0,ENTENDA a TEORIA da FLORESTA NEGRA,2024-12-22,33783,4063,73,Live
58.0,SERJÃO EXPLICA O QUE FOI o SINAL WOW,2024-12-21,26763,3047,65,Short
12865.0,OPERAÇÃO PRATO [COM ANDREI E SCHWARZA] - Ciência Sem Fim #285,2024-12-21,221004,13285,501,Live
66.0,O QUE É a MENSAGEM de ARECIBO?,2024-12-20,31153,3466,109,Live
46.0,É ASSIM que FUNCIONAM os LANÇAMENTOS de FOGUETES,2024-12-19,259985,23419,126,Short
7709.0,SACANI RESPONDE [O QUE ESPERAR DE 2025?] - Ciência Sem Fim #284,2024-12-19,91837,7157,303,Live
25.0,A VERDADE POR TRÁS do FILME CONTATO,2024-12-18,8627,1205,16,Short
60.0,O QUE É o PROJETO SETI?,2024-12-17,16882,2671,24,Short
66.0,PROJECT CYCLOPS: o PROJETO QUE PROMETIA DETECTAR VIDA EXTRATERRESTRE,2024-12-16,83990,7970,129,Live
58.0,O QUE são BURACOS NEGROS PRIMORDIAIS,2024-12-14,13814,2178,24,Short
122.0,O DIA que O JAMES WEBB PULVERIZOU o HUBBLE,2024-12-13,17883,2034,15,Live
9024.0,CAIO AMATO [OAKLEY] - Ciência Sem Fim #283,2024-12-13,45415,2849,165,Live
85.0,UMA AULA do SERJÃO sobre ATUALIZAÇÃO de MODELOS,2024-12-12,33440,4018,45,Live
13549.0,SACANI RESPONDE [A HISTÓRIA DOS ÔNIBUS ESPACIAIS] - Ciência Sem Fim #282,2024-12-12,323168,8085,205,Live
99.0,DESCOBERTA INCRÍVEL do JAMES WEBB,2024-12-11,63630,6565,93,Live
53.0,DESCOBRIRAM quem M4T0U J. KENNEDY?,2024-12-10,277278,20580,247,Short
21.0,SERJÃO fica BRAVO com PERGUNTA?,2024-12-06,112649,8015,118,Short
52.0,A PRADA fez o TRAJE ESPACIAL LUNAR?,2024-12-06,5970,862,10,Short
3279.0,SACANI RESPONDE NA CCXP [QUANDO O HOMEM VOLTA PRA LUA?] - Ciência Sem Fim #281,2024-12-06,36215,3463,40,Live
49.0,VOCÊ NÃO PODE ir para a LUA,2024-12-06,9149,1316,21,Short
36.0,ACELERANDO o PROCESSO de IDA para MARTE,2024-12-06,6923,1053,23,Short
0.0,SACANI RESPONDE [URANO E NETUNO] - Ciência Sem Fim #137,2024-12-06,0,0,0,Short
53.0,SERJÃO respondeu A TÃO ESPERADA PERGUNTA 👽,2024-12-05,8724,950,42,Short
36.0,SERJÃO FALA sobre ET de VARGINHA,2024-12-05,5303,626,32,Short
27.0,ESTAMOS SOZINHOS no UNIVERSO?,2024-12-05,5638,748,28,Short
55.0,OUTRA CIVILIZAÇÃO encontrou a NOSSA VOYAGER? 👀,2024-12-05,9125,1119,40,Short
4786.0,SACANI RESPONDE NA CCXP [ALIENS] - Ciência Sem Fim #280,2024-12-05,83241,6515,178,Live
35.0,COMO SERIA conviver com ALINÍGENAS?,2024-12-05,3738,375,10,Short
39.0,SERJÃO REFLETINDO sobre VIAGEM NO TEMPO,2024-12-05,4122,406,3,Short
45.0,O GOVERNO vai REVELAR EXISTÊNCIA ALIENÍGENA,2024-12-03,35204,3651,31,Short
55.0,RONY VERNET conta CASO BIZARRO,2024-12-02,4080,387,29,Short
54.0,COISAS ESTRANHAS estão ACONTECENDO no ACRE,2024-12-01,7889,912,22,Short
7957.0,OS MONSTROS VERMELHOS DO JAMES WEBB - Ciência Sem Fim News #23,2024-11-30,102219,6072,131,Live
7680.0,PATRICIA LAZZAROTTO E CAROLA CARVALHO - Ciência Sem Fim #279,2024-11-29,49306,3578,38,Live
45.0,RELATO IMPRESSIONANTE sobre SERES da FLORESTA,2024-11-28,6211,567,26,Short
7535.0,SACANI RESPONDE [PROJETO SETI - BUSCA POR VIDA INTELIGENTE NO UNIVERSO] - Ciência Sem Fim #278,2024-11-28,160723,9414,190,Live
40.0,EXISTE uma CIVILIZAÇÃO ESCONDIDA no MAR?,2024-11-26,7995,1020,37,Short
37.0,CASOS UFOLÓGICOS em ALDEIAS INDÍGENAS,2024-11-25,24353,2109,38,Short
46.0,SERJÃO conta HISTÓRIA INUSITADA sobre O ET de VARGINHA,2024-11-24,28425,3000,35,Short
19.0,TRUMP vai REVELAR quem M4T0U J. KENNEDY,2024-11-23,1454252,99503,893,Short
33.0,OS EUA vão REVELAR DOCUMENTOS SECRÉTOS,2024-11-22,9809,876,38,Short
44.0,A TEORIA mais LOUCA sobre O ET de VARGINHA,2024-11-21,9950,728,28,Short
43.0,ESSA é A PROVA que O ET de VARGINHA é REAL,2024-11-19,32648,2679,78,Short
53.0,O CASO mais EXTRANHO que VOCÊ VAI OUVIR HOJE!!!,2024-11-18,20735,2354,31,Short
42.0,ESSE FOI o MAIOR ERRO de EINSTEIN,2024-11-16,149929,13968,97,Short
8075.0,50 ANOS DA MENSAGEM DE ARECIBO - Ciência Sem Fim News #22,2024-11-16,79156,5380,105,Live
28.0,FOI ASSIM que DESCOBRIRAM ANDRÔMEDA,2024-11-15,178535,15030,77,Short
14070.0,ESPECIAL UFOLOGIA [COM RONY VERNET E SCHWARZA] - Ciência Sem Fim #277,2024-11-15,1060086,31069,1507,Live
