Duration,Title,Published_date,Views,Likes,Comments,Type
39.0,Phoenix revelando sua face de verdadeiro maior Steam Boy do Brasil! 😂🛡️ #Valve #HalfLife,2024-12-27,111,43,1,Short
5.0,O poder do SHADOW derrubando o Sonic no jogo e no filme! 😱💥 Quem aí já assistiu Sonic 3?  #Sonic3,2024-12-27,2173,145,0,Short
57.0,Concord facilmente foi uma das piores decisões da Sony nos últimos anos...,2024-12-27,2269,201,4,Short
4456.0,GAMEPLAY PUMMEL PARTY NATALINO - especial de Natal #flowgames,2024-12-26,20495,1823,12,Live
6.0,"Quem diria isso há uns anos atrás, Sony liberando os ""Only On PlayStation"" para o PC! 💻🎮#PlayStation",2024-12-26,3535,236,18,Short
102.0,🏆🎮 O prêmio de Melhor Jogo VR de 2024 foi para... Batman Arkham Shadows! 🦇✨ #TheGameAwards,2024-12-26,1144,133,2,Short
91.0,Quem aí lembra da primeira vez que viu o trailer de The Last of Us 1? 🎮❤️🍃 #TheLastOfUs,2024-12-26,1741,260,12,Short
10.0,"Em 2025, o clássico vai ganhar nova vida!✨ O remake Live-Action de Lilo & Stitch está chegando! 🏝️👽",2024-12-26,3033,218,8,Short
104.0,O que vocês acharam do novo título da RockSteady? Digno de um dos piores do ano?,2024-12-26,3700,354,5,Short
73.0,🎮The Last of Us Part II definitivamente não teve medo de arriscar na história! #thelastofuspart2,2024-12-25,3233,374,11,Short
25.0,"Já chegou o Natal, mas o presente que eu queria ainda não veio: o trailer 2 de #GTA6 ! 🎄🚗",2024-12-25,3878,490,5,Short
175.0,Quem aí lembra do trailer dublado de God of War 2018? 🔥🎮 #GodOfWar,2024-12-25,2109,293,4,Short
13.0,"Hoje, dia 25 de dezembro, #sonic3  finalmente chegou!🎄💙, Animados para SENTIR o SHADOW? 🔥",2024-12-25,2740,271,5,Short
12.0,Neil Druckmann confirmou que o #Intergalactic vai ser inspirado em Akira e Cowboy Bebop!🎮🔥,2024-12-25,3829,257,11,Short
53.0,"Pra muitos o Stardew Valley é o melhor jogo de fazendinha que temos hoje,e pra você?",2024-12-25,2690,296,11,Short
56.0,"Trailer de Midnight Murder Club! Para o Dark Mica, é o próximo GOTY 🏆, para o MAGO, é 'uma MERD@",2024-12-24,3969,359,4,Short
26.0,Quem sente saudade de jogar GTA Online com os amigos no #Natal? 🎄🚗🎮 #GTAOnline #GTA5 #GTA6,2024-12-24,3052,287,12,Short
58.0,Quem aí lembra do trailer de Battlefield 1 ao som de Seven Nation Army? 🪖🎵🎮 #Battlefield1,2024-12-24,3478,552,17,Short
38.0,É amanhã! 💙🌀 Sonic 3 chega às telonas no dia 25 de dezembro! 🦔⚡ #Sonic3,2024-12-24,12192,732,7,Short
58.0,#Minecraft marcou gerações e ainda vai marcar muitas outras...,2024-12-24,3090,381,7,Short
8716.0,Os MELHORES JOGOS da HISTÓRIA do PLAYSTATION 2  — Ranking Flow Games #08,2024-12-23,75443,5538,194,Live
1041.0,OS MELHORES JOGOS FAMÍLIA DA HISTÓRIA! segundo chatgpt #flowgames,2024-12-23,7498,611,19,Short
15.0,Incrível o que Balatro conquistou! 🎭✨ A indicação ao GOTY foi mais que merecida 🃏 #Balatro,2024-12-23,2829,232,6,Short
5.0,"Todo mundo curtindo o Natal com panetone... e eu no cinema, comendo pipocao com o Sonic 3!🍿 🦔#Sonic3",2024-12-23,2990,204,5,Short
8547.0,O QUE está ACONTECENDO com a UBISOFT? - #132 #flowgames,2024-12-20,72704,4639,69,Live
1182.0,MICA GANHA UM PRESENTE DE NATAL MUITO ESPECIAL! #flowgames,2024-12-20,22621,3140,122,Short
43.0,Já ouviu falar da palavra do PC GAME PASS?! Não? Então vem conferir!,2024-12-20,2509,247,6,Short
1106.0,"ENTREVISTA com DEV DE INDIANA JONES, JENS ANDERSSON #flowgames",2024-12-20,6463,750,25,Short
53.0,Tem muita coisa pra você aproveitar no PC GAME PASS! Confira todos os benefícios.,2024-12-19,10428,1034,30,Short
4758.0,OS PIORES JOGOS DE 2024 - #131 #flowgames,2024-12-18,60252,4290,67,Live
31.0,"É um pássaro? 🐦 É um avião? ✈️ Não, é o Superman! 🦸‍♂️🌍 O céu nunca mais será o mesmo. #Superman",2024-12-18,5845,565,11,Short
50.0,NO PC GAME PASS TEM! Confira todos os benefícios.,2024-12-18,4757,419,14,Short
16.0,Skibidi Toilet no Fortnite é uma das maiores aleatoriedades do ano! 👀#Fortnite,2024-12-18,17069,685,42,Short
5907.0,"RETROSPECTIVA 2024, MELHORES MOMENTOS DO MD3 — #MD3 #202",2024-12-17,11518,671,10,Live
67.0,🤔 Se a DLC de Shadow of the Erdtree fosse um stand-alone ela teria mais chances no #TheGameAwards?,2024-12-17,7512,506,20,Short
69.0,🎮 Astro Bot levou o GOTY no #TheGameAwards! O que você acha disso? 🤔 #AstroBot #GOTY,2024-12-17,22762,1347,72,Short
15.0,"👀 Notou o Geralt no trailer de The Witcher 4? ""Time For a New Saga"" ⚔️🔥 #TheWitcher4",2024-12-17,5722,432,10,Short
10445.0,Os MELHORES JOGOS do GAME PASS  — Ranking Flow Games #07,2024-12-17,79529,5128,74,Live
888.0,"Astro GOTY, THE WITCHER 4 e a nova IP da NAUGHTY DOG? - FGN Direct #07",2024-12-16,11896,1476,22,Short
9211.0,"ASTRO BOT é o JOGO DO ANO, foi JUSTO? - #FGN #157",2024-12-14,146990,9263,155,Live
36.0,ASTRO BOT GANHANDO como MELHOR DIREÇÃO no #TheGameAwards! 🏆🤖,2024-12-13,13200,886,33,Short
24.0,METAPHOR: REFANTAZIO GANHANDO como MELHOR NARRATIVA no #TheGameAwards! 🎮🔥,2024-12-13,6044,408,12,Short
43.0,ASTRO BOT GANHANDO como MELHOR JOGO PARA FAMÍLIA no #TheGameAwards! 🏆🤖,2024-12-13,8142,591,12,Short
62.0,"TRAILER da DLC de DAVE THE DIVER, a INTO THE JUNGLE, no #TheGameAwards 🔥",2024-12-13,6481,462,6,Short
40.0,SURPREENDENDO um TOTAL de 0 PESSOAS GTA 6 ganha como Jogo Mais Aguardado de 2025 no #TheGameAwards🏆⭐,2024-12-13,9258,745,4,Short
12.0,🚨 OFICIAL: O MAGO NÃO TANKOU O ASTRO GOTYKKKKKKKKK#TheGameAwards,2024-12-13,22220,1914,39,Short
21609.0,THE GAME AWARDS 2024 — COBERTURA FLOW GAMES,2024-12-13,948659,68348,798,Live
57.0,ASTRO BOT é o GOTY 2024 no #TheGameAwards !O MICALI SABE DE ALGO,2024-12-13,56255,4885,308,Short
90.0,"Trailer de STAY THE SPIRE 2, Take Every Card 🃏 #TheGameAwards",2024-12-13,3948,245,3,Short
61.0,"One Move Away, o jogo onde você organiza um UNO 🚗🔥 #TheGameAwards",2024-12-13,3943,247,3,Short
11.0,E com vocês o canal do boi do Flow Games 😂 #TheGameAwards,2024-12-13,4536,436,5,Short
33.0,🙏🏽 Só o Phoenix mesmo pra acreditar em um milagre vindo da Valve 😂#TheGameAwards,2024-12-13,5938,387,6,Short
86.0,✋🏽O Low Games chegou para facilitar sua vida e ser o seu novo comparador de preços!,2024-12-12,2561,167,0,Short
14.0,O MAIOR TRAUMA DOS FÃS DE RED DEAD 2! 👀 #TheGameAwards,2024-12-12,5769,598,25,Short
109.0,TOP 5 JOGOS GOTY do #TheGameAwards DO MICALI! E os seus quais são?? Comenta aí 👀,2024-12-12,7708,722,14,Short
85.0,🚨 9ª WORLD PREMIERE do #FlowGamesAwards 2024! 🔥 Vem aí Asleep: Ato 2👁️🎮 #AsleepAto2,2024-12-12,2661,196,2,Short
52.0,"O MESTRE MICALI DEU OS PALPITES DELE, e vocês o que esperam de anúncios no #TheGameAwards 👀?",2024-12-12,3208,340,5,Short
73.0,🚨 8ª WORLD PREMIERE do #FlowGamesAwards 2024! 🔥 Vem aí Extinction Rifts 🎮 #ExtinctionRift,2024-12-12,1048,72,0,Short
15.0,CONCORDAM?? 🤠👀 É o que pensam alguns Cowboys sobre o GOTY 2018 do #TheGameAwards,2024-12-12,4312,375,11,Short
96.0,🚨 7ª WORLD PREMIERE do #FlowGamesAwards 2024! 🔥 Vem aí Rabitt's Fall🐱💖 🎮 #RabbitsFall,2024-12-12,1047,71,0,Short
91.0,🚨 6ª WORLD PREMIERE do #FlowGamesAwards 2024! 🔥 BAGDEX chegou! Pré-venda disponível na @nuuvem!,2024-12-12,1213,112,2,Short
108.0,"Atualização ""Friends of Jimbo 3"" traz colabarações com 8 jogos diferentes para Balatro.",2024-12-12,2098,145,5,Short
57.0,🚨 5ª WORLD PREMIERE do #FlowGamesAwards 2024! 🔥 Vem aí Shadows Of ChromaTower ⚔️🎶 🎮,2024-12-12,1052,77,0,Short
16.0,"HOJE é dia de #TheGameAwards, para quem vai sua torcida?#GOTY",2024-12-12,58501,4130,151,Short
85.0,🚨 4ª WORLD PREMIERE do #FlowGamesAwards 2024! 🔥 Vem aí Kaardik🃏🐉!  #Kaardik,2024-12-12,1137,103,1,Short
52.0,🚨 3ª WORLD PREMIERE do #FlowGamesAwards 2024! 🔥 Vem aí Holyshot 😇😈,2024-12-12,1393,100,0,Short
70.0,🚨 2ª WORLD PREMIERE do #FlowGamesAwards 2024!🔥 Vem aí Saborus 🐓⚠️🎮 #Saborus,2024-12-12,1795,127,2,Short
56.0,🚀 1ª WORLD PREMIERE do #FlowGamesAwards 2024! 🔥 Vem aí No Heroes Here 2 🏰⚔️🎮 #NoHeroesHere2,2024-12-12,1142,105,3,Short
9684.0,O FUTURO do LoL BR  — #MD3 #201,2024-12-12,44991,2828,47,Live
47.0,"EA SPORTS FC 25 X UFL, o jogo que o CR7 investiu, Qual deles é o melhor?? ⚽ #ufl #fifa #futebol",2024-12-11,3535,154,2,Short
13.0,"Dos mesmos criadores de @phoenixbrnnf na escada rolante, veio aí Phoenix descendo de elevador 😅",2024-12-11,97453,9119,48,Short
73.0,"🏆 PARABÉNS, BLACK MYTH: WUKONG! O prêmio de Jogo do Ano 2024 #FlowGamesAwards é todo seu! 🎉✨",2024-12-11,3798,319,4,Short
48.0,"🏆 PARABÉNS, HELLBLADE 2!  O prêmio de Melhor Direção de Arte no #FlowGamesAwards é todo seu! 🎉",2024-12-11,1862,143,2,Short
48.0,"🏆 PARABÉNS, METAPHOR REFANTAZIO! O prêmio de Melhor Trilha Sonora no #FlowGamesAwards é todo seu! 🎉✨",2024-12-11,1054,116,2,Short
45.0,"🏆 PARABÉNS, SILENT HILL 2! 🌫️O prêmio de Melhor Design de Som no #FlowGamesAwards é todo seu!",2024-12-11,852,85,2,Short
46.0,"🏆 PARABÉNS, MELINA JUERGENS!  O prêmio de Melhor Atuação no #FlowGamesAwards é todo seu! 🎉",2024-12-11,816,94,1,Short
48.0,"🏆 PARABÉNS, TAKAYA KURODA!  O prêmio de Melhor Atuação Coadjuvante no #FlowGamesAwards é todo seu! 🎉",2024-12-11,886,89,1,Short
54.0,"🏆 PARABÉNS, COD: BLACK OPS 6! 🇧🇷  Pelo prêmio de Melhor Localização para PT-BR no #FlowGamesAwards",2024-12-11,805,81,0,Short
13529.0,FLOW GAMES AWARDS 2024 — NOSSA PREMIAÇÃO DE JOGOS!,2024-12-11,237651,17543,165,Live
32.0,"🏆 PARABÉNS, MULLET MADJACK! 🇧🇷 O título de Melhor Jogo Brasileiro no #FlowGamesAwards é seu! 🎉✨",2024-12-11,1414,114,1,Short
29.0,"🏆 PARABÉNS, LOGITECH!  O prêmio de Melhor Produto Gamer no #FlowGamesAwards vai para o Astro 50x",2024-12-11,1899,128,4,Short
58.0,"🏆 PARABÉNS, MAURO RAMOS!  O prêmio de Melhor Atuação em Dublagem no #FlowGamesAwards",2024-12-11,3815,335,4,Short
39.0,"🏆 PARABÉNS, SUPER MARIO PARTY JAMBOREE! O Melhor Jogo Multiplayer no #FlowGamesAwards é todo seu!",2024-12-11,706,93,1,Short
42.0,"🏆 PARABÉNS, GAME SCIENCE!  O título de Melhor Estúdio do Ano no #FlowGamesAwards é seu!",2024-12-11,745,75,1,Short
27.0,"🏆 PARABÉNS, BALATRO!  Melhor Jogo Indie de 2024 no #FlowGamesAwards 🃏💥",2024-12-11,990,91,4,Short
26.0,"🏆 PARABÉNS, BALATRO! O título de Melhor Jogo Indie de Estúdio Estreante no #FlowGamesAwards é seu!",2024-12-11,778,63,1,Short
11.0,Pera aí cara 😂 #FlowGamesAwards,2024-12-11,3126,346,6,Short
34.0,"🏆 PARABÉNS, CALL OF DUTY: BLACK OPS 6!  O título de Melhor Jogo de Ação no #FlowGamesAwards é seu!",2024-12-11,802,75,0,Short
42.0,🏆 PARABÉNS PARA O BLACK MYTH: WUKONG! Pelo título de Melhor Jogo de Ação/Aventura #FlowGamesAwards,2024-12-11,1185,120,1,Short
