Duration,Title,Published_date,Views,Likes,Comments,Type
85.0,Cláudia Leitte muda a letra da música,2024-12-27,207,47,7,Short
81.0,Todos prontos para a Mega da Virada?,2024-12-27,218,30,0,Short
68.0,Qual comida você acha subestimada?,2024-12-27,283,74,0,Short
5899.0,VÍDEO FLOW AWARDS - OS MELHORES CORTES DO GRUPO FLOW - BOM DIA FLOW #74 #BF,2024-12-26,1744,178,5,Live
5356.0,ANÁLISE DO CENÁRIO POLÍTICO DESTE ANO E AS EXPECTATIVAS PARA O ANO QUE VEM - FLOW NEWS - #398 #FN,2024-12-23,2339,165,3,Live
3956.0,"MORAES CONCEDE LIBERDADE CONDICIONAL A DANIEL SILVEIRA, QUE TERÁ RESTRIÇÕES - FLOW NEWS - #397 #FN",2024-12-20,2406,198,5,Live
90.0,"E aí, você gosta dos hobbits? 👀",2024-12-20,837,25,1,Short
87.0,Mourão reconhece a existência de planos de golpe golpista,2024-12-20,693,48,2,Short
90.0,ETs ou Elon Musk: quem está por trás dos drones em Nova Jersey? 😱,2024-12-20,541,21,0,Short
89.0,O que é um caso de urgência para o Ministério Público?,2024-12-20,596,22,0,Short
54.0,Fazer arte é fazer política?,2024-12-20,498,26,1,Short
4583.0,"MELHORES MOMENTOS DO ANO, TRAILER DE SUPERMAN, ESTREIAS NO CINEMA E STREAMING - BOM DIA FLOW #72 #BF",2024-12-20,1107,107,15,Live
5083.0,"OS ACONTECIMENTOS QUE MARCARAM O ANO, COM RAFAEL COLOMBO - TRAMONTA NEWS - #65 #TN",2024-12-20,4694,410,9,Live
3944.0,"LEILÃO DE 8 BI DO BC SEGURA DÓLAR; GALÍPOLO NÃO VÊ ""ATAQUE ESPECULATIVO"" - FLOW NEWS - #396 #FN",2024-12-19,2452,228,3,Live
89.0,Rayssa Leal tricampeã mundial no skate!,2024-12-19,1703,70,0,Short
4688.0,"CELSO KAMURA - CONEXÕES, COM GLORIA VANIQUE - #71 #CX",2024-12-19,3996,320,19,Live
3715.0,AGENTE DA PM DE SP É FLAGRADA DANDO CHUTES EM HOMEM RENDIDO; SSP INVESTIGA - FLOW NEWS - #395 #FN,2024-12-18,3987,268,6,Live
