Duration,Title,Published_date,Views,Likes,Comments,Type
0.0,DAVY & CAIO vs MULIS & MATHEUS - EA FSC 25 GAMEPLAY,2024-12-27,3985,521,0,Short
93.0,CRISTIANO RONALDO é muito DETERMINADO! #cr7 #cristianoronaldo #manchesterunited #manchestercity,2024-12-27,269,98,0,Live
34.0,O GALO VAI SER CAMPEÃO DA SULA EM 2025?? 🤔 O Ano do Atletico-MG! #atleticomg #galo,2024-12-27,1103,136,3,Short
382.0,VOCÊ AINDA ACREDITA NO FUTEBOL DO GABIGOL?,2024-12-26,2663,383,17,Live
102.0,O MEMPHIS foi a MELHOR CONTRATAÇÃO de 2024? #memphis #corinthians,2024-12-26,1189,129,3,Live
116.0,A CONSOLIDAÇÃO do MANCHESTER CITY! #manchestercity,2024-12-26,1029,156,0,Live
28.0,"FLUMINENSE FOI A DECEPÇÃO DE 2024? 🤔 Destaques do ano! Concorda, torcedor?",2024-12-26,3177,321,9,Short
53.0,FLAMENGO EM 2024!! O mengão teve um bom ano? 🤔#flamengo,2024-12-25,4169,391,3,Short
110.0,Tem problema JORNALISTAS revelarem seus TIMES? #sãopaulo #arnaldoetironi,2024-12-25,2237,192,0,Live
24.0,"DESTAQUES DE 2024!! 🔥🤩 Concorda com as escolhas, torcedor? #2024 #botafogo #destaques",2024-12-24,6992,552,18,Short
50.0,O VAR no BRASIL é um SER SUPREMO? #var,2024-12-24,1676,112,0,Short
107.0,GABIGOL escaralhou em 2024? 🤔😂 #gabigol #flamengo #corinthians,2024-12-23,1436,118,1,Live
3283.0,RETROSPECTIVA 2024 - VARzea,2024-12-23,19785,1919,18,Live
108.0,Ali não era mais o Ayrton Senna! #senna #ayrtonsenna #formula1 #f1,2024-12-23,49365,2707,31,Live
99.0,"CORINTHIANS EM 2024!!! 🔥 Concorda com ele, torcedor?? #corinthians #memphisdepay #yurialberto",2024-12-23,2274,268,7,Live
108.0,Falta um CENTROAVANTE na SELEÇÃO BRASILEIRA? #brasil #seleçãobrasileira,2024-12-23,2159,182,8,Live
14.0,FLAMENGO VENDE REGATA?? 🤨🤣 #flamengohoje,2024-12-22,8384,761,5,Short
108.0,"TOP 5 JOGADORES DO FUTEBOL BRASILEIRO EM 2024! 🔥👀 Você concorda, torcedor? #top5",2024-12-21,5447,527,30,Live
98.0,PALMEIRAS deveria estar acima do SÃO PAULO no RANKING DA CBF?? 👀🤔#palmeiras #saopaulo #cbf,2024-12-20,5952,465,28,Live
92.0,NEYMAR não está disposto a se sacrificar para jogar em ALTO NÍVEL? #neymar,2024-12-19,3334,261,2,Live
83.0,BALLON D’OR ou FIFA THE BEST: Qual o melhor prêmio?? 🏆🤔#thebest #ballondor #rodri #vinijr,2024-12-19,6934,464,24,Live
6913.0,REAL MADRID x PACHUCA - Final do Intercontinental FSC React,2024-12-18,20019,1023,9,Live
37.0,FALA DOS BR!!! 🔥🇧🇷#rodrygo #realmadrid #mundial,2024-12-18,4052,354,3,Short
46.0,QUE ASSISTÊNCIA DO MELHOR JOGADOR DO MUNDO!! VINI JR É SURREAL! 🔥 #vinijr #mbappe #realmadrid,2024-12-18,3065,332,4,Short
91.0,PACHUCA tem chance contra o REAL MADRID? #pachuca #realmadrid,2024-12-18,2869,202,7,Live
61.0,É um ABSURDO o REAL MADRID estar direto na final do MUNDIAL? #realmadrid #mundial,2024-12-18,63767,4791,166,Live
90.0,O MANCHESTER CITY é o BOTAFOGO de 2023? 🤔 #manchestercity #botafogo #guardiola,2024-12-17,2777,240,4,Live
120.0,RONALDO CANDIDATO A PRESIDÊNCIA DA CBF! É uma fagulha de esperança para o futebol brasileiro?,2024-12-17,4911,512,13,Live
94.0,GUARDIOLA NÃO ESTÁ BEM! #guardiola #manchestercity,2024-12-16,3253,352,4,Live
6087.0,O QUE ESPERAR DO FUTEBOL INTERNACIONAL EM 2025? com GUSTAVO ZUPAK - Flow Sport Club #242,2024-12-16,29478,2127,18,Live
53.0,O ano do PALMEIRAS é RIDÍCULO?? #palmeiras #abelferreira #leilapereira,2024-12-16,7394,680,38,Short
56.0,FELIPÃO no GRÊMIO?  #grêmio #felipão,2024-12-15,3237,312,3,Short
109.0,POGBA aguenta a intensidade do FUTEBOL BRASILEIRO?? #pogba #corinthians,2024-12-15,3499,297,11,Live
