Duration,Title,Published_date,Views,Likes,Comments,Type,mês-ano
23.0,Naldo ajudou o Bruno Mars muito esse ano,2024-12-26,1240,169,5,Short,Dec-24
52.0,O inacreditável “médico” de Magé,2024-12-26,2649,555,3,Short,Dec-24
10.0,Todo mundo tem um amigo que se empolga quando acaba o Natal,2024-12-26,10888,641,3,Short,Dec-24
29.0,A famosa voz do Anderson Silva,2024-12-25,47866,6822,38,Short,Dec-24
52.0,Boni fala sobre os fundamentos pra um projeto de sucesso para TV,2024-12-25,4927,396,7,Short,Dec-24
23.0,Um homem que aguentou muita coisa calado,2024-12-25,24179,3059,16,Short,Dec-24
16.0,"Nesse NATAL, não pode faltar o “CAFEZINHO” da vovó Maria #humor #vovomaria",2024-12-24,606653,53641,78,Short,Dec-24
24.0,Os primeiros 40 anos da infância são magníficos,2024-12-24,10006,852,4,Short,Dec-24
14.0,Você PISCOU e o NATAL chegou!,2024-12-24,12389,832,11,Short,Dec-24
59.0,A experiência de estar no trágico dia que Senna nos deixou #senna #f1 #formula1 #autoflow,2024-12-23,48315,3019,11,Short,Dec-24
39.0,As expectativas para Max Verstappen em 2025 #f1 #maxverstappen #formula1 #autoflow,2024-12-23,4835,372,1,Short,Dec-24
38.0,Wendel Bezerra revela os improvisos da dublagem,2024-12-23,125749,19446,37,Short,Dec-24
38.0,As inacreditáveis Strolladas #flowpodcast #lancestroll #f1 #autoflow,2024-12-23,5855,398,3,Short,Dec-24
71.0,Como mudar os preços da passagem aéreas?,2024-12-22,75904,5808,65,Live,Dec-24
31.0,"Seria o Michael Schumacher o ""Dick Vigarista"" da F1?",2024-12-22,453414,29624,449,Short,Dec-24
32.0,"Lewandowski, se estiver vendo isso, aquele braço #podcast #flowpodcast",2024-12-22,26042,2059,13,Short,Dec-24
22.0,DIETA do PANETTONE ? KKKKKKKKKK,2024-12-22,8825,487,11,Short,Dec-24
37.0,MELHOR RECEITA de BAUDUCCO,2024-12-21,252885,0,63,Short,Dec-24
33.0,TÁTICA do BAPTISTA pra GANHAR QUALQUER JOGO,2024-12-21,8136,459,0,Short,Dec-24
41.0,F1 atual X F1 antiga #f1 #senna #flowpodcast #hamilton #autoflow,2024-12-21,292818,17889,166,Short,Dec-24
60.0,O MAIOR BAUDUCCO do BRASIL - 10kg,2024-12-21,6208,0,8,Short,Dec-24
31.0,NÃO TENTE essa BRINCADEIRA no seu NATAL,2024-12-21,15670,974,7,Short,Dec-24
71.0,MARIANA 3K é MELHOR que IGOR 3K ???,2024-12-21,9691,0,7,Live,Dec-24
61.0,QUEM não ROUBOU nesse DESAFIO?,2024-12-21,6959,0,9,Live,Dec-24
55.0,O MELHOR DESAFIO de NATAL que VOCÊ JÁ VIU,2024-12-21,3168,0,4,Short,Dec-24
40.0,QUAL vai ser o PRÓXIMO hype MUSICAL?,2024-12-21,22930,1859,45,Short,Dec-24
19.0,Um bar INSALUBRE qualquer,2024-12-21,6474,568,6,Short,Dec-24
1466.0,DESAFIOS de um NATAL em FAMÍLIA,2024-12-20,25923,2457,66,Live,Dec-24
18.0,Dino REVELA o SEGREDO do seu treino,2024-12-20,41933,3189,45,Short,Dec-24
46.0,A INACREDITÁVEL piada do PEPINO,2024-12-20,344213,35364,135,Short,Dec-24
7672.0,HISTÓRIA DA MÚSICA ELETRÔNICA NO BRASIL [com Mário Sergio],2024-12-20,56606,3133,196,Live,Dec-24
31.0,A tática do Anderson Silva pra desconcentrar os adversários,2024-12-19,16051,1900,20,Short,Dec-24
42.0,Quanto PESA a sua CABEÇA? #medicina #paulomuzy,2024-12-19,37117,2680,29,Short,Dec-24
41.0,E foi assim que o Alma Negra ficou cego,2024-12-19,79288,11316,22,Short,Dec-24
10224.0,JON VLOGS - Flow #418,2024-12-19,314566,19633,245,Live,Dec-24
37.0,O dia que tentaram roubar um capitão do BOPE,2024-12-18,364036,55537,217,Short,Dec-24
23.0,O dia que a CASA do IGOR caiu,2024-12-18,31335,2312,12,Short,Dec-24
22.0,Chamamos um francês uma russa e uma alemã e olha no que deu #flow  #flowpodcast #cortespodcast,2024-12-18,191373,28606,184,Short,Dec-24
6797.0,REGINALDO LEME [+ VICTOR LUDGERO] - Flow #417,2024-12-18,122026,8220,210,Live,Dec-24
27.0,Guilherme Briggs fazia o Silvio Santos sempre que possível,2024-12-17,9754,946,8,Short,Dec-24
41.0,A opinião de Clóvis de Barros sobre homenagens póstumas #filosofia #clovisdebarrosfilho,2024-12-17,26898,3206,17,Short,Dec-24
27.0,O que será que o FROID fez dessa vez? #froid,2024-12-17,40156,2535,39,Short,Dec-24
8873.0,MANUAL pra RESOLVER DRs [Marina Baldin e André MESTRE Scardovelli],2024-12-17,250905,17896,270,Live,Dec-24
14.0,🫡,2024-12-17,267299,28994,173,Short,Dec-24
58.0,A experiência de ficar à deriva há mais de 70 horas na Polinésia Francesa,2024-12-16,8871,660,1,Short,Dec-24
10.0,MEU TRABALHO TÁ ME MATANDO,2024-12-16,15356,734,9,Short,Dec-24
46.0,O carro do Silvio #flowpodcast #silviosantos,2024-12-15,214953,27115,45,Short,Dec-24
33.0,O encontro mais improvável do mundo,2024-12-15,401837,40501,308,Short,Dec-24
43.0,O inacreditável carro que estaciona sozinho,2024-12-15,831932,85374,168,Short,Dec-24
20.0,"Eu, você, dois filhos e o Cristiano Ronaldo #cr7 #luansantana",2024-12-15,12580,999,10,Short,Dec-24
29.0,É fã ou hater? Parte 2 #podcast  #cortespodcast #flowpodcast,2024-12-14,23952,2395,16,Short,Dec-24
28.0,Fã ou Hater? 🫠 #MeninaVeneno #flowpodcast #felca,2024-12-14,83592,8780,43,Short,Dec-24
9805.0,CRIANDO  ̶M̶Á̶G̶I̶C̶A̶  MÚSICA COM FROID E ECOLOGYK,2024-12-14,121578,6410,193,Live,Dec-24
64.0,Vladimir Putin e a invasão na Ucrânia,2024-12-13,267028,28087,257,Live,Dec-24
23.0,O pai mais tranquilo da velha guarda #vilela #flowpodcast,2024-12-13,97572,9415,97,Short,Dec-24
54.0,China vs EUA #flowpodcast #RicardoMarcilio,2024-12-13,14914,1122,12,Short,Dec-24
9887.0,COMO É DAR UMA VOLTA AO MUNDO DE VELEIRO? [com @VeleiroKatoosh ],2024-12-13,321327,21361,482,Live,Dec-24
39.0,"Menina Veneno, corre aqui… ❤️‍🔥#meninaveneno #felca",2024-12-12,81884,5689,55,Short,Dec-24
36.0,O Rogério Skylab tá diferente 😅,2024-12-12,43313,3367,6,Short,Dec-24
20.0,Calma que os guri fica maluco… 😌 #podcast #flowpodcast #felca #meninaveneno,2024-12-12,55936,4568,12,Short,Dec-24
6515.0,TÁTICAS PARA FICAR NA JANELA DO AVIÃO [+ Felca],2024-12-11,261183,16333,290,Live,Dec-24
36.0,FELCA sobre DIVA do AVIÃO #felca #flowpodcast #avião,2024-12-11,22302,1540,18,Short,Dec-24
10.0,🚨 Felipe Titto faz revelação bombástica! 🚨 #podcast #flowpodcast #felipetitto,2024-12-11,280654,18594,54,Short,Dec-24
43.0,Adivinha quem vai estar ao vivo no Flow hoje?! #podcast #felca #podcast,2024-12-11,38723,3196,19,Short,Dec-24
42.0,Todo dia sai de casa um malandro e um otário,2024-12-11,428288,41998,157,Short,Dec-24
27.0,"Me xinga, cara!",2024-12-10,18143,1700,13,Short,Dec-24
22.0,A chave da felicidade é o Fallen,2024-12-10,33102,2719,12,Short,Dec-24
44.0,O Cocielo dublou o Sonic? #Cocielo #Sonic #dublagem #polêmica,2024-12-10,302168,36306,155,Short,Dec-24
5778.0,"OTAN x RÚSSIA, SÍRIA, COREIA: O MUNDO VAI ACABAR EM 2025?",2024-12-10,157680,8029,270,Live,Dec-24
47.0,Pra ir de F basta tá vivo,2024-12-09,203163,26484,64,Short,Dec-24
20.0,Absolute Cinema,2024-12-09,248006,30670,91,Short,Dec-24
41.0,"E aí, o Fluminense cai hoje ou não? 👀#Flow #FlowPodcast #CCXP #GrupoFlowCCXP",2024-12-09,41054,3487,42,Short,Dec-24
58.0,A regra é clara: Cada um com a sua treta! #Flow #FlowPodcast #CCXP #GrupoFlowCCXP,2024-12-09,37910,3310,29,Short,Dec-24
