Duration,Title,Published_date,Views,Likes,Comments,Type
0.0,TUDO SOBRE DOENÇAS ESPIRITUAIS: PADRE REGINALDO MANZOTTI - Inteligência Ltda. Podcast #1406,2024-12-26,10815,1879,73,Short
58.0,O que os SEUS VÍCIOS dizem sobre VOCÊ?,2024-12-23,16530,1680,16,Short
6377.0,COMO É A VIDA DE UM INDÍGENA VIDA LOKA? KAURI E RICHARD - Inteligência Ltda. Podcast #1405,2024-12-23,71939,4484,205,Live
7110.0,A GEOPOLÍTICA DO MUNDO PARA 2025: DANUZIO NETO - Inteligência Ltda. Podcast #1404,2024-12-21,84285,4554,348,Live
9585.0,"INTERESTELAR: ECONOFÍSICO, PATRÍCIA LAZZAROTTO E ROBERTA DUARTE - Inteligência Ltda. Podcast #1402",2024-12-20,131563,5087,515,Live
5713.0,MASSACRATION - Inteligência Ltda. Podcast #1402,2024-12-19,43709,2812,120,Live
59.0,E se a GRAVIDADE DESLIGASSE?,2024-12-18,13095,595,22,Short
9126.0,DEBATE: DIREITA X ESQUERDA: ARTHUR DO VAL X AAVA SANTIAGO - Inteligência Ltda. Podcast #1401,2024-12-18,375000,26434,3095,Live
49.0,VOCÊ sabe o que são as DARK e DEEP WEB?,2024-12-17,6723,456,7,Short
8704.0,ANDRÉ RAMALHO - Inteligência Ltda. Podcast #1400,2024-12-17,130554,9128,120,Live
9311.0,DO PAPIRO À TECNOLOGIA: RODRIGO SILVA E SHIMON ELIAV - Inteligência Ltda. Podcast #1399,2024-12-17,145294,6696,254,Live
8405.0,MILTON NEVES - Inteligência Ltda. Podcast #1398,2024-12-13,73716,4078,307,Live
9453.0,Invadindo a DISNEY e a MARVEL - D23 (Completo e sem \cortes) - O Invasor #003,2024-12-13,78335,5054,14,Live
8184.0,POR QUE PENSAMOS COMO PENSAMOS?: MARCOS LACERDA E ISAAC EFRAIM - Inteligência Ltda. Podcast #1397,2024-12-13,110231,6433,640,Live
11720.0,"SHARK TANK: CAROL PAIFFER, CARLOS SEMENZATO E SERGIO ZIMERMAN - Inteligência Ltda. Podcast #1396",2024-12-12,145942,4399,137,Live
42.0,DRA ANA BEATRIZ fala sobre PENSAMENTOS INTRUSIVOS,2024-12-11,20204,2018,13,Short
10855.0,FÍSICA QUÂNTICA: SÉRGIO SACANI E CÉSAR LENZI - Inteligência Ltda. Podcast #1395,2024-12-11,654536,21823,668,Live
