Duration,Title,Published_date,Views,Likes,Comments,Type
39.0,Batendo o recorde de soco!,2024-12-26,1738,301,0,Short
31.0,Recayd Mob,2024-12-26,1513,173,3,Short
48.0,IMAGINA A CENA 🤢,2024-12-26,1687,173,0,Short
16.0,A friendzone é complicada demais,2024-12-26,4103,237,0,Short
56.0,O cara recebeu uma cabeçada do nada 🤣,2024-12-26,6321,524,1,Short
32.0,DEPRESSÃO?!?,2024-12-25,3814,307,1,Short
33.0,DEFANTE x BRINO NO FREE STYLE,2024-12-25,3227,258,1,Short
7.0,A gente já tá velho kkkk,2024-12-25,2792,198,1,Short
7.0,TEM DINHEIRO KKKKKKKK,2024-12-25,6080,358,3,Short
58.0,Esse beijo da tua boca tem sabor de fruta fresca 🎶,2024-12-25,3525,250,1,Short
60.0,GOLAÇO!,2024-12-24,3862,244,1,Short
34.0,Dra. Beatriz no Podpah,2024-12-24,2516,263,0,Short
42.0,"Quem diria ""não"" pro menino Ney?",2024-12-24,5956,462,5,Short
57.0,APOLLO vs MARTIZIN,2024-12-24,3124,256,2,Short
50.0,Super Heróis Brasileiros,2024-12-23,6191,521,0,Short
63.0,Essa nave era o sonho de consumo de muitos!,2024-12-23,5743,449,5,Live
21.0,Fideliz e seu fetiche por pé 🤣,2024-12-23,4540,297,1,Short
28.0,"Amigo que é amigo fala a verdade, né? 😅",2024-12-23,6791,432,0,Short
24.0,É ISSO...,2024-12-22,6014,341,0,Short
51.0,Sempre foi por amor 👏,2024-12-22,3189,280,0,Short
42.0,Bastidores de Kubanacan,2024-12-22,3137,292,0,Short
39.0,Nem o Defante aguentou 🤣,2024-12-22,11517,583,2,Short
48.0,PEDRO SAMPAIO 🤣,2024-12-21,3762,273,1,Short
56.0,Veigh anuncia novo projeto ao vivo,2024-12-21,4547,382,1,Short
29.0,Lá ele...,2024-12-21,8933,638,4,Short
47.0,Esse som é pesado 👏,2024-12-21,3878,290,4,Short
31.0,CANDIDATURA DE THIAGIO SEM T,2024-12-20,3744,280,1,Short
43.0,MC BRINQUEDO MANDOU O PAPO!,2024-12-20,7799,522,2,Short
16.0,TENTANDO NÃO CHORAR,2024-12-20,3810,268,1,Short
60.0,Mítico Zé Gotinha,2024-12-20,4244,317,1,Short
57.0,Mídia Alternativa,2024-12-19,2384,274,0,Short
56.0,Fazendo Acontecer,2024-12-19,3789,319,0,Short
43.0,CELA USANDO TENIS FALSO 😱,2024-12-19,61660,4457,7,Short
68.0,Esse Manoel Gomes 🤣,2024-12-19,14120,1217,9,Live
29.0,O ALVARO AVACALHOU AGR 🤣,2024-12-18,12625,741,3,Short
26.0,HABILIDADE OCULTA COM WESLEY ALEMÃO,2024-12-18,28635,1443,4,Short
43.0,O IMPACTO DO BITELO NO FISIOCULTURISMO,2024-12-18,5953,495,2,Short
38.0,POR QUE A CABEÇA DO WESLEY FICOU DAQUELE JEITO?,2024-12-18,6920,402,1,Short
55.0,O Documentário do Belo tá dando o que falar!,2024-12-17,3644,245,0,Short
22.0,Artur Jorge melhor técnico do Brasil?,2024-12-17,4892,293,1,Short
8199.0,BDA AWARDS 2024,2024-12-17,230309,11967,72,Live
