Duration,Title,Published_date,Views,Likes,Comments,Type
32.0,TER CORAGEM É ISSO...,2024-12-27,1407,92,0,Short
57.0,O SONHO ESTÁ LOGO ALI...,2024-12-25,3905,272,2,Short
82.0,O COMEÇO de VOVÓ e NETO,2024-12-24,1277,109,0,Live
40.0,COMO evitar ENVELHECIMENTO,2024-12-23,1567,76,0,Short
4797.0,GUILHERME MUZY - Venus Podcast #626,2024-12-23,2558,200,8,Live
31.0,O PROBLEMA de CRIAR EXPECTATIVA,2024-12-22,1633,63,0,Short
34.0,IMPACTOS do MEDO do CANCELAMENRO,2024-12-21,1997,123,1,Short
26.0,ELA só QUERIA ir pra BAHIA KKKK,2024-12-20,16797,932,7,Short
31.0,O MUNDO está ACABAMDO?,2024-12-19,1788,102,6,Short
62.0,ESSE é o NATAL do JORGINHO,2024-12-18,3182,201,3,Live
115.0,O que SABER antes de SE ENVOLVER com NARCISISTA,2024-12-17,3784,434,9,Live
5175.0,PEDRO CALAIS - Venus Podcast #625,2024-12-17,8789,630,15,Live
28.0,ESSE FUTURO ninguém PREVIU,2024-12-16,2417,140,2,Short
6675.0,"FAUSTO, O MENZINHO - Venus Podcast #624",2024-12-16,11256,945,21,Live
34.0,ESPIRITUALIDADE da VOVÓ MARIA,2024-12-15,11086,531,1,Short
63.0,BRASIL - O PAIS do  “Apesar de...”,2024-12-14,2510,179,2,Live
36.0,COMO manter o ROMANCE em um RELACIONAMENTO convivendo JUNTOS,2024-12-13,2210,179,1,Short
2550.0,MÉRCIA NAKASHIMA | VENUS INVESTIGA,2024-12-13,58123,3048,151,Live
45.0,GOSTO de uma PESSOA com GOSTOS DIFERENTES. O que FAZER?,2024-12-12,2040,175,5,Short
36.0,COMO EQUILIBRAR o TEMPO entre NAMORAR e JOGAR VIDEOGAME,2024-12-11,1141,74,1,Short
4316.0,VOVÓ MARIA E O NETO - Venus Podcast #623,2024-12-11,3795,334,9,Live
26.0,COMO MANTER um RELACIONAMENTO por 20 ANOS,2024-12-10,4432,249,1,Short
7195.0,JOÃO SILVA - Venus Podcast #622,2024-12-10,10809,689,25,Live
52.0,ESSA é FÃ de VERDADE!,2024-12-09,1888,131,1,Short
9.0,ELE SABE de TUDO...,2024-12-08,1931,74,0,Short
33.0,O homem ENCICLOPÉDIA (de ANIME),2024-12-08,1463,75,0,Short
12.0,TODO O TALENTO da YAS COM ANIMES em UM VÍDEO,2024-12-08,1620,63,1,Short
22.0,EXISTE um POKÉMON QUE FALA?,2024-12-08,2757,77,1,Short
29.0,ELA TÁ ESCONDENDO o JOGO?🤔,2024-12-08,6800,136,0,Short
22.0,QUEM é o FÃ DE HARRY POTTER?,2024-12-08,9252,258,4,Short
2250.0,QUEM É O FÃ? - Venus Podcast,2024-12-08,10364,833,22,Live
24.0,DICA de como ALIVIAR sua ANSIEDADE,2024-12-07,8805,700,5,Short
44.0,"O FAMOSO ""BLOCK DO AMOR""",2024-12-07,3287,288,1,Short
3005.0,O UNIVERSO da CULTURA POP na CCXP - Venus Podcast,2024-12-07,3407,281,5,Live
38.0,REVELANDO QUEM é HÉTERO,2024-12-06,3121,123,0,Short
24.0,ELE USA a BOLSA da NAMORADA ?,2024-12-05,1653,88,0,Short
12.0,SKATISTA que NÃO ouve CHARLIE BROWN EXISTE ?,2024-12-04,5382,170,2,Short
15.0,ESSE HÉTERO é DIFERENTE ?,2024-12-03,15165,445,4,Short
14.0,QUEM é o HÉTERO?,2024-12-02,5624,196,7,Short
1659.0,QUEM É O HÉTERO?,2024-12-02,200664,12996,616,Live
21.0,COMO é VIAJAR após PANDEMIA,2024-12-01,4227,110,1,Short
65.0,SÃO FRANCISCO  é uma CIDADE MAL ASSOMBRADA?,2024-11-30,1954,93,1,Live
25.0,COMO é CONHECER o JAPÃO,2024-11-29,300577,12505,192,Short
956.0,"MENTIRAS, RELACIONAMENTO TÓXICO e TRAIÇÃO | SAC #07",2024-11-29,5963,530,11,Live
72.0,COMO ENGANAR um FANTASMA,2024-11-28,4193,146,7,Live
6149.0,"BABU CARREIRA, XANDA DIAS e CAROL DELGADO - Venus Podcast #620",2024-11-28,7924,528,33,Live
81.0,ISSO é QUESTIONAR a SOCIEDADE,2024-11-27,2575,187,3,Live
